"City", "Country", "Year", "Season"
"Athens", "Greece", 1896, "Summer"
"Paris", "France", 1900, "Summer"
"St. Louis", "United States", 1904, "Summer"
"London", "United Kingdom", 1908, "Summer"
"Stockholm", "Sweden", 1912, "Summer"
"Antwerp", "Belgium", 1920, "Summer"
"Chamonix", "France", 1924, "Winter"
"Paris", "France", 1924, "Summer"
"St. Moritz", "Switzerland", 1928, "Winter"
"Amsterdam", "Netherlands", 1928, "Summer"
"Lake Placid", "United States", 1932, "Winter"
"Los Angeles", "United States", 1932, "Summer"
"Garmisch-Partenkirchen", "Germany", 1936, "Winter"
"Berlin", "Germany", 1936, "Summer"
"St. Moritz", "Switzerland", 1948, "Winter"
"London", "United Kingdom", 1948, "Summer"
